Designator,Mid X,Mid Y,Rotation,Layer
C1,-67.5,-31.0,0.0,bottom
C10,-67.5,-6.75,0.0,bottom
C11,-67.5,-4.5,0.0,bottom
C12,-67.5,-2.25,0.0,bottom
C13,-67.5,0.0,0.0,bottom
C14,-67.5,2.25,0.0,bottom
C15,-67.5,4.5,0.0,bottom
C16,-67.5,6.75,0.0,bottom
C17,-67.5,11.0,0.0,bottom
C18,-67.5,15.25,0.0,bottom
C19,-67.5,17.5,0.0,bottom
C2,-67.5,-28.75,0.0,bottom
C20,-67.5,19.75,0.0,bottom
C21,-67.5,22.0,0.0,bottom
C22,-67.5,24.25,0.0,bottom
C23,-67.5,26.5,0.0,bottom
C24,-67.5,28.75,0.0,bottom
C25,-67.5,31.0,0.0,bottom
C26,-52.5,-31.0,180.0,bottom
C27,-52.5,-28.75,180.0,bottom
C28,-52.5,-26.5,180.0,bottom
C29,-52.5,-24.25,180.0,bottom
C3,-67.5,-26.5,0.0,bottom
C30,-52.5,-22.0,180.0,bottom
C31,-52.5,-19.75,180.0,bottom
C32,-52.5,-17.5,180.0,bottom
C33,-52.5,-15.25,180.0,bottom
C34,-52.5,-11.25,180.0,bottom
C35,-52.5,-9.0,180.0,bottom
C36,-52.5,-6.75,180.0,bottom
C37,-52.5,-4.5,180.0,bottom
C38,-52.5,-2.25,180.0,bottom
C39,-52.5,2.25,180.0,bottom
C4,-67.5,-24.25,0.0,bottom
C40,-52.5,4.5,180.0,bottom
C41,-52.5,6.75,180.0,bottom
C42,-52.5,9.0,180.0,bottom
C43,-52.5,11.25,180.0,bottom
C44,-52.5,15.25,180.0,bottom
C45,-52.5,17.5,180.0,bottom
C46,-52.5,19.75,180.0,bottom
C47,-52.5,22.0,180.0,bottom
C48,-52.5,24.25,180.0,bottom
C49,-52.5,26.5,180.0,bottom
C5,-67.5,-22.0,0.0,bottom
C50,-52.5,28.75,180.0,bottom
C51,-52.5,31.0,180.0,bottom
C52,-67.5,-31.0,180.0,top
C53,-67.5,-28.75,180.0,top
C54,-67.5,28.75,180.0,top
C55,-67.5,31.0,180.0,top
C56,-64.0,-28.5,90.0,top
C57,-57.25,-28.75,90.0,top
C58,-55.0,-28.5,90.0,top
C59,-64.0,28.5,270.0,top
C6,-67.5,-19.75,0.0,bottom
C60,-57.25,28.75,270.0,top
C61,-55.0,28.5,270.0,top
C62,-55.25,-5.5,90.0,top
C63,-55.25,5.5,270.0,top
C64,-60.0,-7.25,90.0,top
C65,-57.75,-7.25,90.0,top
C66,-60.0,7.25,270.0,top
C67,-57.75,7.25,270.0,top
C68,-60.0,-14.75,270.0,top
C69,-60.0,14.75,90.0,top
C7,-67.5,-17.5,0.0,bottom
C70,-61.75,-29.0,90.0,top
C71,-59.5,-29.0,90.0,top
C72,-61.75,29.25,270.0,top
C73,-59.5,29.25,270.0,top
C74,-42.25,-28.5,90.0,top
C75,-42.25,28.5,270.0,top
C76,-43.75,-16.5,270.0,top
C77,-43.75,16.5,90.0,top
C78,-44.6,-5.25,90.0,top
C79,-42.25,-5.25,90.0,top
C8,-67.5,-15.25,0.0,bottom
C80,-44.5,5.25,270.0,top
C81,-42.25,5.25,270.0,top
C82,-48.5,-26.5,90.0,top
C83,-50.0,0.0,0.0,top
C84,-48.5,26.5,270.0,top
C85,-37.5,-11.0,0.0,top
C86,-37.5,11.0,0.0,top
C87,-67.5,-11.000000490538902,120.0,top
C88,-67.5,11.000000490538902,240.0,top
C89,-51.25,-13.25,0.0,top
C9,-67.5,-11.0,0.0,bottom
C90,-51.25,13.25,0.0,top
C91,-19.5,-12.0,0.0,top
C92,-19.5,12.0,0.0,top
C93,-6.5,-12.0,0.0,top
C94,-6.5,12.0,0.0,top
